update_id,instance_id,preference_key,w_flow,w_cost,w_variance,terminated,truncated,terminal_reason,maximum_worker_fatigue,schedule_violation_count,production_defer_shield_masked_count,production_defer_shield_reason_counts,production_defer_shield_max_risk,production_defer_shield_max_wait_ticks,production_defer_shield_max_work_lower_bound_ticks,production_defer_shield_min_deadline_slack_ticks,pass,action_trace_sha256
5,validation_machine_bottleneck_2000008,0_0_1,0.0,0.0,1.0,True,False,completed,0.2868,0,2,"{""no_state_progress"": 2}",1.0,71,1099,428,True,6b23a10e312c0e7a4e15cd93d6a269e17a96b12cfdac7c7a4e478c051642a0f8
5,validation_fatigue_bottleneck_2000011,0_0_1,0.0,0.0,1.0,True,False,completed,0.40861834980000006,0,0,{},0.4356609574000878,74,960,723,True,5258ecb3417f09b3e59bf657fa850ffa191ff1f25e13728e2c9ce0ac7a26293f
5,validation_machine_bottleneck_2000008,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.2868,0,2,"{""no_state_progress"": 2}",1.0,71,1099,428,True,6b23a10e312c0e7a4e15cd93d6a269e17a96b12cfdac7c7a4e478c051642a0f8
5,validation_fatigue_bottleneck_2000011,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.40861834980000006,0,0,{},0.4356609574000878,74,960,723,True,5258ecb3417f09b3e59bf657fa850ffa191ff1f25e13728e2c9ce0ac7a26293f
5,validation_machine_bottleneck_2000014,0_0.6_0.4,0.0,0.6,0.4,True,False,completed,0.24380000000000007,0,0,{},0.5642317380352645,75,1045,432,True,b061ee89120287a47f7245a4dd72bc92da1965dd3739b881cc135fa7d33cb188
5,validation_machine_bottleneck_2000014,0.2_0_0.8,0.2,0.0,0.8,True,False,completed,0.24380000000000007,0,0,{},0.5299910474485229,56,1045,476,True,53bed9dbe3d0c26487bb40fab334793ac8599417234c25418eefb363b875a082
5,validation_machine_bottleneck_2000014,0.2_0.2_0.6,0.2,0.2,0.6,True,False,completed,0.24380000000000007,0,0,{},0.5299910474485229,56,1045,476,True,53bed9dbe3d0c26487bb40fab334793ac8599417234c25418eefb363b875a082
5,validation_machine_bottleneck_2000014,0.2_0.4_0.4,0.2,0.4,0.4,True,False,completed,0.24380000000000007,0,0,{},0.5299910474485229,56,1045,476,True,53bed9dbe3d0c26487bb40fab334793ac8599417234c25418eefb363b875a082
5,validation_machine_bottleneck_2000014,0.2_0.6_0.2,0.2,0.6,0.2,True,False,completed,0.24380000000000007,0,0,{},0.5299910474485229,56,1045,476,True,53bed9dbe3d0c26487bb40fab334793ac8599417234c25418eefb363b875a082
5,validation_machine_bottleneck_2000014,0.2_0.8_0,0.2,0.8,0.0,True,False,completed,0.24380000000000007,0,0,{},0.5642317380352645,75,1045,432,True,b061ee89120287a47f7245a4dd72bc92da1965dd3739b881cc135fa7d33cb188
10,validation_machine_bottleneck_2000008,0_0_1,0.0,0.0,1.0,True,False,completed,0.24187956009999997,0,0,{},0.5612052730696798,82,1099,355,True,7c9c7868551f47f6304a4984560fda81ee3408bceb0ed581b819cb6fe1b6fb8b
10,validation_fatigue_bottleneck_2000011,0_0_1,0.0,0.0,1.0,True,False,completed,0.40861834980000006,0,0,{},0.4356609574000878,87,960,694,True,8b914e48fed40b6b72bec08339dcf4f63361fb2830e1536a0ae3e606cbba3d2d
10,validation_machine_bottleneck_2000008,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.24187956009999997,0,0,{},0.5602636534839924,83,1099,354,True,c0384cb477c5b9b2c93552c20bb6ccdbdff382ded1fcab392b8c7903442148b9
10,validation_fatigue_bottleneck_2000011,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.40861834980000006,0,2,"{""no_state_progress"": 2}",1.0,99,960,587,True,1026ecc1b770f16ec3236a5df20007e899d7bd6279b6f5a548904241b094e483
10,validation_machine_bottleneck_2000014,0_0.6_0.4,0.0,0.6,0.4,True,False,completed,0.24380000000000007,0,2,"{""no_state_progress"": 2}",1.0,54,1045,411,True,65aea4e4bc1fdea84c80201a4d87df207bd7088ef76d0f4f80efa89d97a17eb5
10,validation_machine_bottleneck_2000014,0.2_0_0.8,0.2,0.0,0.8,True,False,completed,0.24380000000000007,0,2,"{""no_state_progress"": 2}",1.0,54,1045,411,True,65aea4e4bc1fdea84c80201a4d87df207bd7088ef76d0f4f80efa89d97a17eb5
10,validation_machine_bottleneck_2000014,0.2_0.2_0.6,0.2,0.2,0.6,True,False,completed,0.24380000000000007,0,2,"{""no_state_progress"": 2}",1.0,82,1045,374,True,49981547972e9fc7cebd30422c849786a1652c6bf1a7e6d1ee83a1a314302027
10,validation_machine_bottleneck_2000014,0.2_0.4_0.4,0.2,0.4,0.4,True,False,completed,0.24380000000000007,0,0,{},0.5642317380352645,75,1045,432,True,b061ee89120287a47f7245a4dd72bc92da1965dd3739b881cc135fa7d33cb188
10,validation_machine_bottleneck_2000014,0.2_0.6_0.2,0.2,0.6,0.2,True,False,completed,0.24380000000000007,0,0,{},0.5642317380352645,75,1045,432,True,b061ee89120287a47f7245a4dd72bc92da1965dd3739b881cc135fa7d33cb188
10,validation_machine_bottleneck_2000014,0.2_0.8_0,0.2,0.8,0.0,True,False,completed,0.24380000000000007,0,0,{},0.5642317380352645,75,1045,432,True,b061ee89120287a47f7245a4dd72bc92da1965dd3739b881cc135fa7d33cb188
15,validation_machine_bottleneck_2000008,0_0_1,0.0,0.0,1.0,True,False,completed,0.24187956009999997,0,4,"{""no_state_progress"": 4}",1.0,71,1099,240,True,b4a804dae9d1ae9131279b2b2dc66c21fe782ed6cb42a10a66a846931451b939
15,validation_fatigue_bottleneck_2000011,0_0_1,0.0,0.0,1.0,True,False,completed,0.49571847700000005,0,0,{},0.4356609574000878,78,960,698,True,fe3ddf2e98b127790530d50ef6e4833a5bed3114c201e61f1fcec8c62a40804d
15,validation_machine_bottleneck_2000008,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.24187956009999997,0,4,"{""no_state_progress"": 4}",1.0,71,1099,240,True,b4a804dae9d1ae9131279b2b2dc66c21fe782ed6cb42a10a66a846931451b939
15,validation_fatigue_bottleneck_2000011,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.49571847700000005,0,0,{},0.4356609574000878,78,960,698,True,28a524dd3a9a5ef9f6e59ff05d5a4432712236d2f130c6680655c66c622f6a2f
15,validation_machine_bottleneck_2000014,0_0.6_0.4,0.0,0.6,0.4,True,False,completed,0.1849203661,0,0,{},0.5655362053162236,67,1045,448,True,2a80cc5f15c8b91787e1004269c16c3a715dd32e425e73881681ed670a59bf2b
15,validation_machine_bottleneck_2000014,0.2_0_0.8,0.2,0.0,0.8,True,False,completed,0.1849203661,0,0,{},0.5655362053162236,67,1045,448,True,9cf9da76b4bccde05aff432631efb532859da5664f0806b9a725925f828df8c5
15,validation_machine_bottleneck_2000014,0.2_0.2_0.6,0.2,0.2,0.6,True,False,completed,0.1849203661,0,0,{},0.5655362053162236,67,1045,448,True,9cf9da76b4bccde05aff432631efb532859da5664f0806b9a725925f828df8c5
15,validation_machine_bottleneck_2000014,0.2_0.4_0.4,0.2,0.4,0.4,True,False,completed,0.1849203661,0,0,{},0.5655362053162236,70,1045,445,True,951e265e2c5af016ff1b4d4670aa181216cfa4d0d9a355f15c5558d0bf5e84c4
15,validation_machine_bottleneck_2000014,0.2_0.6_0.2,0.2,0.6,0.2,True,False,completed,0.1849203661,0,2,"{""no_state_progress"": 2}",1.0,57,1045,398,True,e8855f4f27a86f70e46ce7a13347d85a28f87cedc9bd4c6838cf3ed72094c270
15,validation_machine_bottleneck_2000014,0.2_0.8_0,0.2,0.8,0.0,True,False,completed,0.24380000000000007,0,2,"{""no_state_progress"": 2}",1.0,54,1045,411,True,f62886ca0a22812e4b8b8897f144ba457d7a6ffed36112bad809e03b5b53e7d6
20,validation_machine_bottleneck_2000008,0_0_1,0.0,0.0,1.0,True,False,completed,0.24187956009999997,0,0,{},0.5592760180995475,71,1099,433,True,9ba21837430ad0160a2c5b57b7cf7d4e1d5d7eed9af5cf2be47173e939b228cb
20,validation_fatigue_bottleneck_2000011,0_0_1,0.0,0.0,1.0,True,False,completed,0.492118477,0,0,{},0.4356609574000878,85,960,811,True,77b9248ba38d1b7f194f39a80c0ab73144d89e708d26bed56ef1e20d29f1bd1c
20,validation_machine_bottleneck_2000008,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.24187956009999997,0,0,{},0.5457038391224863,71,1099,446,True,44c1b7db4fc20b66f0a976bdf5b23e217e3cc042a5c34898eebb80993ddff27c
20,validation_fatigue_bottleneck_2000011,0_0.2_0.8,0.0,0.2,0.8,True,False,completed,0.49571847700000005,0,0,{},0.4356609574000878,76,960,675,True,901cc7d65bbbf417b29391f375f9558c6f7f57cb67b596e1d83efca1f97d0320
