update_id,episode_start,episode_end,episode_count,transition_count,environment_step_count,forced_action_count,forced_action_ratio,learning_rate,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,policy_head_weight_production_flow_processing_time_norm,policy_head_weight_production_flow_reconfiguration_time_norm,policy_head_weight_production_flow_predicted_finish_time_norm,policy_head_weight_production_flow_horizon_slack_norm,policy_head_weight_sum_production_flow,policy_head_weight_entropy_production_flow,policy_head_effective_feature_count_production_flow,policy_head_weight_production_cost_fixed_reconfiguration_cost_norm,policy_head_weight_production_cost_estimated_labor_cost_norm,policy_head_weight_production_cost_estimated_downtime_cost_norm,policy_head_weight_sum_production_cost,policy_head_weight_entropy_production_cost,policy_head_effective_feature_count_production_cost,policy_head_weight_production_variance_estimated_worker_load_variance_delta_norm,policy_head_weight_sum_production_variance,policy_head_weight_entropy_production_variance,policy_head_effective_feature_count_production_variance,policy_head_weight_worker_flow_stage_duration_norm,policy_head_weight_sum_worker_flow,policy_head_weight_entropy_worker_flow,policy_head_effective_feature_count_worker_flow,policy_head_weight_worker_cost_fixed_cost_norm,policy_head_weight_worker_cost_incremental_labor_cost_norm,policy_head_weight_worker_cost_incremental_downtime_cost_norm,policy_head_weight_sum_worker_cost,policy_head_weight_entropy_worker_cost,policy_head_effective_feature_count_worker_cost,policy_head_weight_worker_variance_incremental_load_variance_norm,policy_head_weight_sum_worker_variance,policy_head_weight_entropy_worker_variance,policy_head_effective_feature_count_worker_variance,policy_head_weight_production_wait_flow_estimated_flow_objective_delta_if_wait,policy_head_weight_sum_production_wait_flow,policy_head_weight_entropy_production_wait_flow,policy_head_effective_feature_count_production_wait_flow,policy_head_weight_production_wait_cost_estimated_cost_objective_delta_if_wait,policy_head_weight_sum_production_wait_cost,policy_head_weight_entropy_production_wait_cost,policy_head_effective_feature_count_production_wait_cost,policy_head_weight_production_wait_variance_estimated_load_variance_delta_if_wait,policy_head_weight_sum_production_wait_variance,policy_head_weight_entropy_production_wait_variance,policy_head_effective_feature_count_production_wait_variance,policy_head_weight_worker_wait_flow_estimated_flow_objective_delta_if_wait,policy_head_weight_sum_worker_wait_flow,policy_head_weight_entropy_worker_wait_flow,policy_head_effective_feature_count_worker_wait_flow,policy_head_weight_worker_wait_cost_estimated_cost_objective_delta_if_wait,policy_head_weight_sum_worker_wait_cost,policy_head_weight_entropy_worker_wait_cost,policy_head_effective_feature_count_worker_wait_cost,policy_head_weight_worker_wait_variance_estimated_load_variance_delta_if_wait,policy_head_weight_sum_worker_wait_variance,policy_head_weight_entropy_worker_wait_variance,policy_head_effective_feature_count_worker_wait_variance,policy_head_gate_production_residual,policy_head_gate_worker_residual
1,0,19,20,5410,5410,0,0.0,0.0001,-0.00031756596530185024,0.0028486990094225965,0.6866224329261219,-0.00575944059939288,0.00022762781113937414,0.0,0.9998673943912282,0.13831559106269303,0.011764705882352941,0.6161460876464844,-0.03344125673174858,0.07732337713241577,0.04099379479885101,0.06929479539394379,-0.0744350478053093,0.04969931021332741,0.1968814730644226,0.2496272623538971,0.2499416470527649,0.24985632300376892,0.2505747675895691,1.0,1.3862933748004527,3.999996054724194,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5016338229179382,0.5003008842468262
2,20,39,20,6114,6114,0,0.0,0.0001,-0.002598245002445765,0.0010761055314863672,0.6416301750577986,-0.008476494082666855,0.0016668538276765805,0.0229300704668276,0.9995207590982318,0.18431740397742638,0.010416666666666666,0.711345911026001,-0.000583851127885282,0.0724114328622818,0.03987669199705124,0.0395796000957489,-0.04046054184436798,0.05833154916763306,0.7012357711791992,0.24944941699504852,0.2502029240131378,0.24992641806602478,0.2504212558269501,1.0000000149011612,1.386293312269798,3.99999580460183,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5021318793296814,0.5006670951843262
3,40,59,20,5775,5775,0,0.0,0.0001,-0.003941328065203769,0.000998594138434203,0.6031810741175662,-0.009473841304757766,0.0033131156931151535,0.048958333352437385,1.0014985328192239,0.230649020625176,0.038461538461538464,1.1913533210754395,0.048414889723062515,0.09192449599504471,0.037990324199199677,0.04304242506623268,0.010424569249153137,0.07081038504838943,0.7807543277740479,0.24931831657886505,0.25035467743873596,0.2498810589313507,0.25044599175453186,1.0000000447034836,1.3862927708054822,3.9999936387474246,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5031560659408569,0.5006087422370911
4,60,79,20,5410,5410,0,0.0,0.0001,-0.005123356642091976,0.0004210837882162784,0.6036532771937987,-0.010949347466778229,0.0037159889347522573,0.06060769897611702,1.0010364280027502,0.24878698355134796,0.011764705882352941,0.5881138443946838,0.10113929957151413,0.08138164132833481,0.042607128620147705,0.026175962761044502,0.058532170951366425,0.07379040867090225,0.8965447545051575,0.2492108941078186,0.25043192505836487,0.24982647597789764,0.2505306899547577,0.9999999850988388,1.3862921126706045,3.9999910062129667,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5040358304977417,0.5007669925689697
5,80,99,20,4936,4936,0,0.0,0.0001,-0.004117759696852703,0.0003119312307554094,0.5812726771602263,-0.009774520823087256,0.002427931042173161,0.036758814102564104,0.9999831238618264,0.26165871885724556,0.05128205128205128,2.29940128326416,0.15442033112049103,0.09279637783765793,0.04253416508436203,0.028040999546647072,0.111886166036129,0.08058395981788635,0.9086886048316956,0.2491530030965805,0.25047606229782104,0.24995607137680054,0.2504149079322815,1.0000000447034836,1.3862921410082343,3.9999911195632323,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5046903491020203,0.5008158683776855
6,100,119,20,5251,5251,0,0.0,0.0001,-0.00744421788524971,0.00033798866105968616,0.5813601580728968,-0.013088824596334562,0.002771391337916272,0.03755647590361446,1.0004121571420186,0.2612716261162815,0.03614457831325301,0.7374890446662903,0.1713518351316452,0.11244361102581024,0.03811124712228775,0.030477868393063545,0.13324059545993805,0.10209744423627853,0.9265317916870117,0.24904780089855194,0.2504202127456665,0.24995076656341553,0.25058120489120483,0.9999999850988388,1.386291506807464,3.9999885827665875,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.505397379398346,0.5006831288337708
7,120,139,20,5177,5177,0,0.0,0.0001,-0.0006906285560057487,0.000411547234021041,0.5486743326908277,-0.005971597743301112,0.0015875404451996733,0.019758839620116316,1.0000784404483842,0.25460637390705537,0.037037037037037035,0.8542875647544861,0.21881210803985596,0.11900001019239426,0.03231111168861389,0.03323189541697502,0.18650101125240326,0.10715407133102417,0.922014057636261,0.24884040653705597,0.25020843744277954,0.24988770484924316,0.2510634958744049,1.0000000447034836,1.386289313968351,3.999979811444789,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5060530304908752,0.5007315278053284
8,140,159,20,4992,4992,0,0.0,0.0001,-0.0004421514936555655,0.0002921847226389218,0.48950622097039836,-0.005191121072783016,0.0012017466689054018,0.013221153846153846,0.9992054120088235,0.2682937368368491,0.0641025641025641,0.7750704288482666,0.24485380947589874,0.13509348034858704,0.028158053755760193,0.029609281569719315,0.21669577062129974,0.12609794735908508,0.9519617557525635,0.24868102371692657,0.25015056133270264,0.24971593916416168,0.2514524459838867,0.9999999701976776,1.3862864462533153,3.9999683406589885,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5068303346633911,0.5006498098373413
9,160,179,20,5568,5568,0,0.0,0.0001,-0.0010215851381934922,0.0006927704280001465,0.45700037376634006,-0.005245203773180644,0.002259177835551144,0.024964080459770114,0.9993676371958063,0.24862159805736322,0.022988505747126436,1.2100467681884766,0.24864500761032104,0.1320447027683258,0.019739564508199692,0.037324853241443634,0.22890546917915344,0.11445531994104385,0.920098602771759,0.2485554963350296,0.2500498294830322,0.24980586767196655,0.25158876180648804,0.9999999552965164,1.3862850445808907,3.9999627340175956,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.507622241973877,0.501004695892334
10,180,199,20,4428,4428,0,0.0,0.0001,-0.0021562560927122832,0.00026370685799130506,0.5081549942493438,-0.007105952343304775,0.001788367547227868,0.020870535714285713,0.9997294911316463,0.24898081892835242,0.04285714285714286,1.7644445896148682,0.3164181709289551,0.1572117805480957,0.017448749393224716,0.025316165760159492,0.29896944761276245,0.15028518438339233,0.9740686416625977,0.2484239786863327,0.24989068508148193,0.24991603195667267,0.2517693042755127,1.0,1.386283098798338,3.9999549509674686,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5080488324165344,0.5011312961578369
